press,category,headline,url,date
한겨레,정치,문희상 “임시정부 100년…새 역사 시작하는 새해 될 것”,http://www.hani.co.kr/arti/politics/politics_general/876484.html,2019/01/01
세계일보,"지역,경제",새해에도 암울한 대구·경북 지역경제,http://www.segye.com/content/html/2018/12/31/20181231000982.html,2019/01/01
세계일보,"경제,지역",경남 승강기안전공단 지역과 상생 동반성장 활동,http://www.segye.com/content/html/2018/12/31/20181231000983.html,2019/01/01
중앙일보,정치,문 대통령 신년사 “한 분 한 분의 삶 나아지도록 노력하겠다”,http://news.joins.com/article/olink/22844371,2019/01/01
동아일보,경제,"이마트, 올해 상반기 ‘한우 등심’ 초저가로 가격 동결",http://news.donga.com/3/all/20181231/93504466/3,2019/01/01
한겨레,"지역,경제",새해 달라지는 지역 정책…고교 무상급식·무상교복 전국 확산,http://www.hani.co.kr/arti/society/area/876488.html,2019/01/01
국민일보,"사회,정치","“그 비서 몸매 좋던데”…국회 페미 “페미니즘=시대정신, 국회부터 바뀌어야”",http://news.kmib.co.kr/article/view.asp?arcid=0012956420&code=61111511&cp=kd,2019/01/01
중앙일보,정치,"공무원 업무추진비 사용, 휴일·심야 증빙자료 내야",http://news.joins.com/article/olink/22844373,2019/01/01
세계일보,"경제,사회",현대·기아·르노·한국지엠 8개 신차 실내공기질 '합격',http://www.segye.com/content/html/2018/12/31/20181231002182.html,2019/01/01
중앙일보,"경제,국제",새해 세계경제 운명 가를 5대 변곡점,http://news.joins.com/article/olink/22844374,2019/01/01
한겨레,국제,3·1운동 떠오르는 사람은? 82%가 “유관순”,http://www.hani.co.kr/arti/society/society_general/876489.html,2019/01/01
동아일보,"IT_과학,경제","차세대 유니콘, 나야 나!",http://news.donga.com/3/all/20181231/93508016/1,2019/01/01
세계일보,경제,“관심과 사랑을 이웃에…” 푸른전력 김한상 대표 전북 54번째 아너소사이어티,http://www.segye.com/content/html/2018/12/31/20181231002408.html,2019/01/01
중앙일보,"사회,경제",여성 임원 약진…‘철옹성’ 금융권 유리천장에도 실금,http://news.joins.com/article/olink/22844375,2019/01/01
동아일보,"경제,정치",[사설]경제현장은 벼랑끝인데 與는 “지표 나아지고 있다” 낙관론,http://news.donga.com/3/all/20181231/93508017/1,2019/01/01
중앙일보,"사회,경제",육아휴직 급여 오른다…새해부터 통상임금 50%,http://news.joins.com/article/olink/22844376,2019/01/01
동아일보,정치,[사설]“靑이 적자국채 발행 압력” 주장… 덮으려 말고 진위 명확히 가려라,http://news.donga.com/3/all/20181231/93508018/1,2019/01/01
동아일보,"경제,사회",[사설]좌절한 20대에게 꿈과 희망 주는 새해로,http://news.donga.com/3/all/20181231/93508019/1,2019/01/01
세계일보,"IT_과학,경제","제약업계, 화학약품 위주서 ‘바이오’로 급속 전환 [4차 산업혁명 - 신년특집]",http://www.segye.com/content/html/2018/12/31/20181231002621.html,2019/01/01
중앙일보,경제,프랜차이즈 갑질 못하게…본사가 파는 재료값 공개 확대,http://news.joins.com/article/olink/22844379,2019/01/01
한겨레,"경제,정치",고양·파주 “경의선 늘려달라” 한 목소리,http://www.hani.co.kr/arti/society/area/876491.html,2019/01/01
중앙일보,"경제,IT_과학",“착한 패딩” 홍보해놓고…손님 오면 “그건 싸구려”,http://news.joins.com/article/olink/22844380,2019/01/01
세계일보,경제,미니스톱 인수 장기화…여러 추측 난무,http://www.segye.com/content/html/2018/12/31/20181231002665.html,2019/01/01
한겨레,사회,"국민들, 3·1운동 핵심정신 1순위로 “친일 청산” 꼽았다",http://www.hani.co.kr/arti/society/society_general/876492.html,2019/01/01
동아일보,경제,주식보다 채권-金 투자해볼만… 안개 걷히는 하반기 노려라,http://news.donga.com/3/all/20181231/93508023/1,2019/01/01
중앙일보,경제,“통화정책 완화 유지…기업 구조조정 통해 생산성 높여야”,http://news.joins.com/article/olink/22844381,2019/01/01
국민일보,"경제,정치",경제회복·실업해소…새해 국민 소망 두 가지,http://news.kmib.co.kr/article/view.asp?arcid=0012956439&code=61111211&cp=kd,2019/01/01
중앙일보,경제,보험 들기 전 설계사 정보 인터넷서 살펴보세요,http://news.joins.com/article/olink/22844382,2019/01/01
동아일보,경제,금리 들썩… 변동형 → 고정형 대출 갈아타기 고려를,http://news.donga.com/3/all/20181231/93508062/1,2019/01/01
한겨레,국제,“한반도 평화 담는 제2독립선언서 필요” 47%,http://www.hani.co.kr/arti/society/society_general/876494.html,2019/01/01
한겨레,"국제,사회",한-일 관계 시급한 과제는 1020 “일본군 위안부” 3040 “친일 잔재 청산”,http://www.hani.co.kr/arti/society/society_general/876495.html,2019/01/01
동아일보,"IT_과학,경제,국제",국토부 “조종사 채용계획 내라”… 항공사 “인력확보 못해 불이익”,http://news.donga.com/3/all/20181231/93508074/1,2019/01/01
세계일보,"지역,경제","제주개발공사, 국민임대주택사업 첫 시동",http://www.segye.com/content/html/2018/12/31/20181231003690.html,2019/01/01
서울신문,"국제,정치","분단을 넘어, 진정한 포용국가로… 100년 전, 임정이 꿈꾸던 나라",http://www.seoul.co.kr/news/newsView.php?id=20190101003002,2019/01/01
동아일보,경제,“황금돼지로 만든 문구-소품입니다”,http://news.donga.com/3/all/20181231/93508078/1,2019/01/01
세계일보,경제,11번가 신년맞이 다이어트 프로그램 실시,http://www.segye.com/content/html/2018/12/31/20181231004123.html,2019/01/01
한겨레,사회,"대한민국 100년, 시민들의 손으로 그리다",http://www.hani.co.kr/arti/society/area/876497.html,2019/01/01
세계일보,"국제,스포츠","메이웨더, 일본 킥복서 나스카와에게 1라운드 TKO승",http://www.segye.com/content/html/2019/01/01/20190101000094.html,2019/01/01
세계일보,국제,"트럼프, 시리아 철군 ""천천히"" 속도조절 시사…비판론 거듭 반박",http://www.segye.com/content/html/2019/01/01/20190101000142.html,2019/01/01
국민일보,사회,"‘사고 후 술 마셨다더니…’ 뺑소니 사망 사고 낸 20대 女, 윤창호법 적용",http://news.kmib.co.kr/article/view.asp?arcid=0012956655&code=61121111&cp=kd,2019/01/01
동아일보,경제,7년 만에 되찾은 ‘조선 1위’… 해양플랜트 부진 해결이 숙제,http://news.donga.com/3/all/20190101/93508220/1,2019/01/01
세계일보,사회,"청주지법, 요양원 90대 치매환자 폭행한 목사 '벌금 200만원'",http://www.segye.com/content/html/2019/01/01/20190101001954.html,2019/01/01
서울신문,국제,[대한민국 임시정부 100년] 세계사 유례없는 민중 주도 임정… 3·1운동 뒤 연해주 첫 ‘깃발’,http://www.seoul.co.kr/news/newsView.php?id=20190101004007,2019/01/01
동아일보,"사회,경제",쌍용차 해직자 71명 10년만에 출근… 상반기 48명 추가 복직,http://news.donga.com/3/all/20190101/93508264/1,2019/01/01
동아일보,경제,손동창 퍼시스그룹 창업주 경영일선 퇴진,http://news.donga.com/3/all/20190101/93508280/1,2019/01/01
세계일보,"경제,사회",경남도내 미분양 주택 1만4213가구,http://www.segye.com/content/html/2019/01/01/20190101002331.html,2019/01/01
동아일보,사회,"현대차 정몽구 재단, 진로교육 공로 교육부장관 표창",http://news.donga.com/3/all/20190101/93508290/1,2019/01/01
서울신문,정치,“열차 타고 38선 넘다니… 평화의 새 시대가 열리고 있어요. 허허”,http://www.seoul.co.kr/news/newsView.php?id=20190101006002,2019/01/01
한겨레,국제,[1919 한겨레] 해 넘기도록 맹렬한 돌림감기,http://www.hani.co.kr/arti/society/society_general/876504.html,2019/01/01
세계일보,경제,2018년 고객만족도 1위는 ‘호텔’,http://www.segye.com/content/html/2019/01/01/20190101002439.html,2019/01/01
세계일보,경제,"이마트, 한우 등심 33% 싸게 판다",http://www.segye.com/content/html/2019/01/01/20190101002440.html,2019/01/01
국민일보,경제,"2018年 농축수산물 3.7%↑ , 소비자물가 1.5%↑",http://news.kmib.co.kr/article/view.asp?arcid=0012956753&code=61141111&cp=kd,2019/01/01
중앙일보,경제,"[경제 브리핑] E1, LPG 공급가격 ㎏당 110원 내려",http://news.joins.com/article/olink/22844388,2019/01/01
세계일보,경제,1월 아파트 3만3000여 가구 분양,http://www.segye.com/content/html/2019/01/01/20190101002442.html,2019/01/01
세계일보,"IT_과학,경제",올 과학기술·ICT R&D에 4조 3000억 투입,http://www.segye.com/content/html/2019/01/01/20190101002444.html,2019/01/01
한겨레,국제,[1919 한겨레] 14원 하던 쌀값이 38원? 굶주린 궁민들은 분노한다,http://www.hani.co.kr/arti/society/society_general/876506.html,2019/01/01
국민일보,"사회,국제",처음 본 女 끌고 가 성폭행한 중국인 “여친과 싸워 화풀이로…”,http://news.kmib.co.kr/article/view.asp?arcid=0012956786&code=61121111&cp=kd,2019/01/01
한겨레,사회,"삼성에버랜드, ‘어용노조’ 만들어 ‘진짜노조’ 와해 공작",http://www.hani.co.kr/arti/society/society_general/876508.html,2019/01/01
동아일보,국제,[시사일본어학원]완전 괜찮아요.,http://news.donga.com/3/all/20190101/93508387/1,2019/01/01
세계일보,사회,"""형사재판 즉시항고 3일 제한은 헌법불합치""",http://www.segye.com/content/html/2019/01/01/20190101002465.html,2019/01/01
국민일보,국제,두테르테 “10대 때 잠자던 가정부 성추행 했었다”,http://news.kmib.co.kr/article/view.asp?arcid=0012956799&code=61131111&cp=kd,2019/01/01
동아일보,국제,[시사중국어학원]눈사람 만들다,http://news.donga.com/3/all/20190101/93508400/1,2019/01/01
중앙일보,경제,편의점과 마트 사이…‘동네 수퍼’ 다시 뜬다,http://news.joins.com/article/olink/22844406,2019/01/01
한겨레,정치,"문 대통령, 새해 첫날 남산서 시민들과 해맞이",http://www.hani.co.kr/arti/politics/bluehouse/876514.html,2019/01/01
동아일보,"사회,정치",국민은 “최저임금 정책 최악” 정부는 인상 폭 늘리기 강행,http://news.donga.com/3/all/20190101/93508485/1,2019/01/01
세계일보,사회,가천 길병원 단체협약 합의… 파업 14일 만에 진료 정상화,http://www.segye.com/content/html/2019/01/01/20190101002808.html,2019/01/01
국민일보,사회,[친절한 쿡캐스터] 기해년 해돋이는 추위와 함께…서울 일출 시각 오전 7시47분,http://news.kmib.co.kr/article/view.asp?arcid=0012956919&code=61121611&cp=kd,2019/01/01
한겨레,경제,"‘돼지 쫓는 소’ 이마트, 한우 6개월간 같은 가격 내놓는다",http://www.hani.co.kr/arti/economy/consumer/876517.html,2019/01/01
동아일보,정치,"文대통령 “조국 국회 출석, 野 정치공세”",http://news.donga.com/3/all/20190101/93508617/1,2019/01/01
서울신문,정치,김정은 오늘 신년사… ‘비핵화·남북 교류’ 깜짝 제안 내놓나,http://www.seoul.co.kr/news/newsView.php?id=20190101010016,2019/01/01
한겨레,경제,"‘새해 결심 0순위’ 다이어트, 건강도 함께 챙긴다",http://www.hani.co.kr/arti/economy/consumer/876518.html,2019/01/01
