index,topics
0,"일자리, 광주, 만, 노사, 협약, 임금, 광주시, 현대차, 유예, 노동"
1,"미, 북, 회담, 북한, 협상, 핵, 당국자, 정상, 평화체제, 비핵화"
2,"대우조선, 산업은행, 회장, 중공업, 지주, 지원, 현대중공업, 현대, 삼성"
3,"정부, 신고, 저, 재위, 한국, 제재, 남북, 전문가, 보고서, 대북"
4,"사업, 전자, 조, 매출, 영업이익, 억, 본부, 지난해, 스마트, 폰"
5,"광주, 일자리, 생산, 공장, 경쟁력, 국내, 임금, 노조, 모델, 기자"
6,"민주당, 판결, 김, 지사, 사법, 여당, 부장판사, 여론"
7,"수사, 협회, 경찰, 관계자, 업체, 물, 사본, 증거, 회원사, 혐의"
8,"진술, 김, 검찰, 대통령, 특활, 억, 선고, 공소, 재판부"
9,"쿠바, 주재, 귀뚜라미, 추측, 호소, 관계, 대사관, 캐나다, 정부, 직원"
10,"아내, 방치, 혐의, 경찰, 진술, 수사, 검찰"
11,"금융, 클라우드, 서비스, 특성, 한국, 모델, 억, 달러"
12,"서비스, 르노삼성, 고객, 센터, 보증, 연장, 프로그램, 국내, 만족도, 정비"
13,"억, 분야, 기술, 개발, 투자, 바이오, 연구, 발굴, 원천, 사업"
14,"폐수, 비료, 자원, 가축, 분뇨, 시설, 음식물, 쓰레기, 사용, 물"
15,"억, 매출액, 쌍용차, 복직, 지난해, 창사, 이래, 최대, 영업손실, 적자"
16,"압수, 영장, 수색, 판단, 수사, 기재, 기관, 해석, 포함, 거래"
17,"달러, 달러화, 은행, 자산, 예금, 금리, 기준, 가치, 팀장, 환율"
18,"기업, 자금, 억, 정부, 가상화폐, 공개, 금지, 투자, 모집, 개발"
19,"효성ITX, 상담, 센터, 솔루션, 대화, 스켈터랩스, 지능, 고객, 컨택, 기술"
20,"교육, 특구, 직업, 지역, 일자리, 지정, 중기"
21,"원정, 드림원정대, 대, 하이, 지역, 강원랜드, 지난해, 프로그램, 사진, 진행"
22,"연탄, 가격, 인상, 밥상, 공동체, 철회, 전국, 지난해, 장, 복지"
23,"팀, 골볼, 장애인, 선수, 대회, 충남, 창단, 종목, 전국, 시각"
24,"비서관, 보좌관, 정무, 노사관계"
25,"냉동만두, 만두, 시장, 억, 군, 시작, 소비, CJ제일제당, 물, 비비고"
26,"꼬막, 도시락, 불고기, 메뉴, 맛, 여수, 외식, 식, 다양, 인기"
27,"신라면, 억, 농심, 매출, 브랜드, 만, 위, 시장, 중국, 미국"
28,"설, 가구, 인, 명절, 상차림, 운영, 상품, 기획전, 나물, 편의점"
29,"홈플러스, 직원, 협상, 잠정, 안, 합의, 노사, 무기계약직, 정규직, 전환"
30,"장관, 경제, 한국, 초대, 최고"
31,"국가조찬기도회, 기도회, 행사, 워싱턴DC, 트럼프, 미국, 참석, 목사, 의원"
32,"할인, 모바일, 설, 연휴, 행사, 쿠폰, 진행, 증정, 추첨, 출석"
33,"서비스, 점검, 고객, 무상, 설, 현대차, 기아차, 운행, 현대·기아자동차, 전국"
34,"선물세트, 파이, 종, 소비자, 오리온, 설, 상어, 정, 선물"
35,"종, 피부, 자음, 세트, 설화, 크림, 라인, 액, 안티, 이징"
36,"세트, 선물세트, 만, 한우, 가격, 준비, 황금, 돼지, 롯데백화점, 설"
37,"금리, 대출, 연, 포인트, 은행, 지난달, 만"
38,"대우조선, 현대중공업, 지분, 매각, 자금, 산은, 노조, 조, 거래, 회사"
39,"조, 억, 배당금, 기업, 주주, 배당, 지난해, 확대, 투자, 삼성전자"
40,"미국, 경제"
41,"제품, 종, 평균, 외식, 상승, 버거, 물가, 소비자, 메뉴, 샌드위치"
42,"금리, 인상, 기준, 차례, 올해, 연방, 인내심, 경기"
43,"고용, 노동, 노조, 부, 총장, 조사, 통합, 당시, 부당, 행위"
44,"대표, 규제, 대통령, 자리, 결제, 한도, 게임, 산업, 대한민국, 부당"
45,억
46,"조, 억"
47,"억, 영업이익, 전년"
48,"전지, 해수, 사용, 생산, 해상, 전기, 바닷물, 전력, 상용, 불빛"
49,"중국, 정상, 회담, 미, 트럼프, 대통령, 무역협상, 진행"
50,"일본, 레이더, 해군, 초계기, 함정, 광개토대왕, 군사, 한국, 미국, 위협"
51,"북한, 미, 미국, 핵, 트럼프, 대통령, 비핵화, 한, 한국, 핵무기"
52,"대표, 그, 당, 홍, 전당대회"
53,"억, 김, 진술, 대통령, 전달"
54,"산업, 생산, 경기, 지수, 이후, 설비, 증가, 개월, 감소, 기록"
55,"적폐, 국민, 한국당, 대변인, 당시, 장, 범죄, 소명, 징역, 판사"
56,"특검, 김, 지사, 기록, 네이버, 팀, 킹크랩, 반복, 수사, 시연회"
57,"청와대, 김, 판결, 입장, 지사, 청원, 표명, 관계자, 대통령, 사법"
58,"현대차, 공장, 광주, 차, 지역, 생산, 대, 완성, 일자리, 광주시"
59,"청와대, 정, 지역, 만, 조항, 일자리, 수석, 광주, 노동"
60,"광주, 일자리, 대통령, 문, 지역, 참석, 노사, 이날, 대표, 민정"
61,"탄핵, 판결, 판사, 비판, 성, 법관, 정치, 부장판사, 사법부, 국민"
62,"공장, 일자리, 생산, 광주, 차, 임금, 완성, 만, 광주시, 현대차"
63,"법, 정치, 사법부, 결정, 의미, 검찰, 과정, 권위주의, 시민, 법원"
64,"신체, 구속, 당신, 권리, 나라, 자유, 수사, 인류, 역사, 피"
65,"재판, 민주당, 사법, 성, 부장판사, 판결, 판사, 김, 지사, 적폐"
66,"광주, 노사, 완성, 협약, 이후, 이번, 현대차, 일자리, 차, 만"
67,"기업, 네슬레, 청와대, 초콜릿, 동영상, 비난, 위기관리, 사례, 해외, 곽상도"
68,"사진, 모델, 모습, 제품, 현실, 뷰티, 보정"
69,"대통령, 정상, 회담, 위원장, 경제, 북한, 김, 협상, 남북, 북·미정상회담"
70,"공정위, 취업, 간부, 기업, 공정, 징역, 위원장, 집행, 퇴직, 행위"
71,"정부, 암호화폐, 블록체인, 추크, 시장, 혁신성장, 기술, 기업, 기차, 도시"
72,"원전, 한국, 엔지니어, 기술, 팀, 사업, 미국, 유치, 한전, 표준"
73,"폭행, 혐의"
74,"기소, 부위원장, 혐의, 선고, 공정위, 기업, 간부, 구속, 업무방해, 김"
75,"중국, 협상, 무역협상, 회담, 주석, 진행, 미, 정상, 트럼프, 대통령"
76,"보훈, 박, 처장, 심사, 위, 보훈처"
77,"태국, 경찰, 남동생, 만, 감금, 혐의, 일본, 방콕, 일본인, 뒤"
78,"지역, 서울, 먼지, 농도, 미세, 배출, 초미세먼지, 평택, 도로, 발생"
79,"외무성, 최, 선희, 부상, 노동당, 년대, 소식통, 평양, 자료, 김영철"
80,"트럼프, 대통령, 무역, 전쟁, 합의, 관세, 중국, 미국, 협상"
81,"미국, 통신, 크로퍼드, 교수"
82,"특허, 건수, 중국, 건, 연구, 분야, 대학, 기관, 위, 곳"
83,"넥슨, 넷마블, 인수, 자본, 국내, 달"
84,"노년, 뱅킹, 금융, 모바일, 은행, 디지털, 교육, 고객, 이용, 대"
85,"중공업, 거제, 저자, 승, 훈, 위, 상황, 조선소, 돈, 흥망"
86,"구스, 마약, 키, 구스만, 변호인, 재판, 주장, 배우"
87,"여성, 체중, 스트레스, 업무, 남성, 결과, 직장, 연구, 조사, 평균"
88,"만, 생산, 현대차, 광주, 차, 대, 임금, 노동, 완성, 지역"
89,
90,"일자리, 모델, 정부, 지자체, 광주, 지원, 선정, 일반, 지역, 세제"
91,"광주, 일자리, 지역, 시청, 민, 노총, 공장, 울산, 노동, 임금"
92,"김, 지사, 재판부, 댓글, 범행, 조작, 대선, 민주당, 온라인, 경"
93,"수사, 대선, 여론, 조작, 정부, 주장, 사법부, 대통령, 여당, 댓글"
94,"판결, 민주당, 사법, 판사, 농, 여당, 사법부, 이날, 김, 지사"
95,"청와대, 판결, 대통령, 재판, 문, 김, 삼권분립"
96,"탄핵, 소추, 국회, 발의, 안, 법관, 의원, 석"
97,"연준, 금리, 경제, 미국, 시장, 신흥, 국, 인상, 결정, 경기"
98,"미국, 정책, 통신, 정부, 한국, 규제, 시장, 크로퍼드, 교수, 뉴욕"
99,"사법부, 구속, 김, 지사, 재판, 삼권분립, 헌법, 판결, 한국당, 법관"
100,"일자리, 광주, 대통령, 현대차, 문, 신설, 법인, 대표"
101,"금리, 연준, 인상, 통화정책, 시장"
102,"김, 지사, 대선, 민주당, 온라인, 여론, 조작"
103,"중국, 미국, 위안, 트럼프, 미중, 무역협상, 억, 대통령, 시, 대표"
104,"판결, 정치, 사법, 재판, 김, 지사, 사건, 법관, 선고, 판사"
105,"대한독립선언, 서, 선생, 공개, 독립, 조소앙, 초고, 주년, 조, 장"
106,"먼지, 기사, 미세, 일자, 면, 위원, 의원, 보도, 손혜원, 독자"
107,"수소, 수소경제, 정부, 기업, 활성화, 투자, 나라, 에너지, 시대, 기술"
108,"환자, 곳, 사망, 병원, 당뇨병, 연구, 의료, 의료기관, 방문, 쇼핑"
109,"영하, 도, 전북, 눈, 제주, 장수, 경남, 함양"
110,"실습, 현장, 기업, 취업, 특성, 학생, 기간, 절차, 만, 학생들"
111,"학부모, 교육청, 조사, 한유, 이사장, 법, 실태, 한유총, 회원, 유치원"
112,"일본, 골, 카타르, 대회, 위, 강, 결승, 에르난데스, 이란, 득점"
113,
114,"방장, 장소, 만, 돈, 방팅, 사기, 팅, 방, 참가자, 뒤"
115,"만, 홍, 대표, 위원, 표현, 윤, 판사, 성, 발언, 모욕"
116,"최, 혐의, 차량, 뒤, 급정거, 사고, 남성"
117,"대표, 감, 알, 조사, 경찰, 에쓰오일, 여성, 검찰, 피해"
118,"가족, 곳, 연명의료, 사전의향서, 상담, 기자, 작성, 뜻, 제도, 대화"
119,"연명의료, 환자, 어머니, 치료, 가족, 중단, 얘기, 결정, 만, 거부"
120,"미군, 감축, 주한, 미, 의원, 법안, 발의, 미국, 하원, 의회"
121,"북한, 핵, 스페인, 김혁, 대사, 북, 소식통"
122,"회담, 비, 장관, 북, 미, 북한, 핵, 대표, 미국, 정상"
123,"경제, 부총리, 장관, 대, 회장, 경제학, 김, 대통령"
124,"대사, 헤일리, 강연, 만, 클린턴, 장관, 트럼프, 달러, 고액"
125,"핵, 북한, 논의, 회담, 미국, 영변, 폐기"
126,"개편, 최저, 임금, 결정, 체계, 정부, 노동, 논의, 안, 최저임금"
127,"홈플러스, 직원, 무기계약직, 정규직, 전환, 임금, 합의, 법인, 만, 협상"
128,"비서관, 대통령, 선임행정관, 출신"
129,"강사, 대학, 임용, 교원, 고용, 겸임, 시행령, 초빙, 이상, 조건"
130,
131,
132,"권한대행, 도지사, 행정, 대선, 사퇴, 부지사, 보궐선거, 이후, 경남, 도"
133,"농산물, 경매, 산지, 오후, 시장, 시, 인천, 전통, 도매, 차례"
134,"억, 만, 인천, 캠페인, 모금, 금액"
135,"대우조선, 현대중공업, 산업은행, 인수, 통합, 산업, 중공업, 법인, 자금, 해양"
136,"주택, 서울, 채, 만, 입주, 올해, 정비, 사업, 최근, 가격"
137,"소비, 생산, 증가, 산업, 분기, 최저, 제조업, 투자, 효과, 설비"
138,"지방, 서울, 기업, 결제, 격차, 곳, 수도, 이전, 정책, 최면"
139,"금감원, 공공기관, 채용, 임금피크제, 급, 직, 취업, 금융, 진입, 방안"
140,"강화, 교육, 상지대, 대학, 통폐합, 승인"
141,"넥슨, 인수, 게임, 국내, 해외, 넷마블, 카카오, 업계, 회사, 확보"
142,"매출, 사업, 억, 영업이익, 조, 분기, 실적, 기업, 적자, 지난해"
143,"통상, 무역, 포스코, 김"
144,"식기, 고객, 매장, 층, 테이블, 사용, 호텔, 경험, 구매, 판매"
145,"아파트, 서울, 값, 주, 폭, 전주, 대비, 강남구, 하락, 전세금"
146,"시장, 매장, 이마트"
147,롯데마트
148,"대우조선, 구조, 조정, 주도, 인수, 현대중공업, 위, 조선업, 민간"
149,"광주, 일자리, 억, 대, 공장, 자금, 자동차, 만, 합의, 현대차"
150,"미얀마, 메이슨, 인수, 롯데제과, 억, 롯데그룹, 시장"
151,"재판, 사법부, 법관, 독립, 판결, 여당, 심, 사법, 세력, 비난"
152,"가격, 주택, 철도, 실질, 상승, 부동산, 건설, 공급, 효과, 논문"
153,"사업, 대표, 개발, 도심, 서울디앤, 류, 도시재생, 부동산, 디벨로퍼, 건물"
154,"프랑스, 시리아, 테러리스트, 드, 정부, 감옥, 유럽, 미군, 쿠르, 민병대"
155,"아랍, 후티, 반군, 드론, 예멘, 사우디, 동맹, 군, 이란, 드"
156,"베네수엘라, 대통령, 미국, 시위, 마두, 그, 정부, 과이, 의장, 인수"
157,"장관, 통일부, 그, 관계, 남북, 정치인, 총선, 교체, 자리, 대통령"
158,"영국, 브렉시트, 협상, 요구, 안, 노, 총리, 합의, 백, 스톱"
159,"중국, 기업, 시, 근무, 장시간, 최근, 회사, 위, 업체, 근로자"
160,"학교, 폭력, 개선, 친구, 안, 피해자, 기자, 이유, 반, 쌍절곤"
161,
162,"엘사, 경찰서, 범죄, 겨울, 행위"
163,"사진, 청와대, 대통령, 기자, 면담, 노총, 위원장, 공개, 모습, 접근"
