index,topics
0,"금융, 억, 재산, 휴면, 예금, 계좌, 조, 거래, 고객, 돈"
1,"휴면, 금융, 재산, 억, 금감원, 예금, 조, 돈, 금융사, 계좌"
2,"공단, 발생, 발전, 사업, 부산, 환경, 하수처리장, 바이오가스, 시설, 연간"
3,"육성, 비전, 경제, 창원, 기술, 강소특구, 산업, 경남, 특구, 진주"
4,"금융, 지주, 스타트업, 제휴, 플러그, 앤드, 플레이, 육성, 기업, 세계"
5,"가치, 측정, 연구원, 연구, 체계, 기업"
6,"김, 변, 배상, 미디어워치"
7,"호날두, 팬, 유벤투스, 응원, 서울월드컵경기장, 크리스티, 아누, 기자, 여론조사, 기존"
8,"랩, 호출, 대"
9,"나라, 관자, 공자, 국민, 관중, 백성, 과유불급, 자장, 청와대, 조국"
10,"미사일, KN-23, 북한, 궤도, 요격, 교수, 이스칸데르, 시험발사, 기술, 장"
11,"여성, 낙태, 생명, 태아, 권리, 아기, 결정, 상담, 부모, 보호"
12,"트럼프, 개도국, 정부, 한국, 무역, 지위, 전쟁, 중국, 가능성, 경제"
13,"택시, 사고, 위반, 차량, 사망자, 만, 건, 버스, 화물차, 과속"
14,
15,"생산, 제조업, 능력, 대비, 개월, 산업, 부진, 전년, 연속, 분기"
16,"저가, 와인, 상품, 이마트, 가격, 병, 수입, 제품, 만, 매입"
17,"램, 가격, 달러, 공정, 반도체, 삼성전자, 분기, 조, 억, 대비"
18,기계
19,
20,포레
21,"대만, 중국, 여행, 자유, 조치, 양안, 금지, 이번, 처음, 만"
22,"기, 검찰, 인사, 검사, 수사, 차장, 지검, 부장, 과장, 윤"
23,"대출, 은행, 주택, 담보, 동의서, 방문, 세대, 영업점, 서울, 투기지역"
24,"검사, 지청, 장, 여성, 검찰, 임명, 부장, 성남, 인사, 연수원"
25,"중국, 미, 민주연구원, 한, 강연, 베이징, 정부, 이날, 무역분쟁, 경제"
26,"학교, 직, 기간, 교수, 조, 수석, 서울대, 휴직, 정치, 조국"
27,"민주연구원, 보고서, 총선, 결과, 당, 공개, 대응, 여론조사, 조사, 분석"
28,"한국, 미국, 일본, 장관, 관련, 화이트국가, 양국, 연기, 질문, 입장"
29,"북한, 방콕, 참석, 미, 대표단, 태국"
30,"기업, 제조업, 산업, 생산, 투자, 소비, 정부, 노조"
31,"미사일, 북한, 발, 발사, 군, 발표, 당국, 보고, 국방부, 사진"
32,"강, 일본, 한, 장관, 한국, 갈등, 고노, 외무상, 외교장관, 회담"
33,"북한, 미사일, 고도, 요격, 핵, 발사, 탄도미사일, 발, 정부, 안보"
34,"미국, 방위비, 요구, 일본, 분담금, 증액, 볼턴, 미군, 배, 주둔"
35,
36,"북한, 미사일, 발사, 미국, 미, 시위, 한, 거, 뒤, 훈련"
37,"의원, 공소시효, 김, 딸, 준용, 그, 의혹, 관련, 언급, 취업"
38,"북한, 발사, 미사일, KN-23, 미, 도발, 정부, 한, 이날, 관리"
39,"북한, 미사일, 탄도미사일, 발사, 위협, 회의, 미, 도발, 국방부, 발"
40,"양국, 국가, 중단, 미, 외교장관, 한국, 한, 화이트, 방콕, 제외"
41,"일본, 대응, 경제, 한, 총선, 보고서, 여당, 민주연구원, 갈등, 당"
42,"일본, 이순신, 그, 경제, 죽창, 역사, 거기, 윤봉길, 문재인, 정부"
43,"일본, 조치, 설명, 외교장관, 장관, 수출규제, 미얀마, 라오스, 대한국, 한국"
44,"피해자, 대통령, 중심주의, 문, 사고"
45,"판결, 자유, 그, 한국, 역지사지, 중국, 편, 정부, 민주, 반일"
46,"폐지, 사고, 자사고, 교육감, 교육, 교육청, 지정, 학교, 자사, 평등"
47,"연구자, 연구, 과학기술, 관료, 정권, 사업, 과정"
48,"영국, 정부, 보도, 아르헨티나, 대처, 전쟁, 중앙일보, 주장, 한국, 일본"
49,"일본, 기업, 한국, 경제, 달러, 삼성전자, 인, 만, 규제"
50,"선장, 헝가리, 사고, 유리, 영장, 검찰, 부다페스트, 허블레아니호, 보석, 결정"
51,"북한, 발사, 프랑스, 중단, 탄도미사일"
52,"선장, 영장, 헝가리, 검찰, 사고, 발부, 유리, 법원, 구속, 보석"
53,"산불, 진화, 지역, 러시아, 대, 투입, 시베리아, 면적, 천, 극동"
54,"선장, 헝가리, 유리, 사고, 현지, 한국인, 관광객, 보석, 검찰, 경찰"
55,"임신, 자궁경부, 수술, 산모, 주, 응급, 자궁, 무력증, 위험, 태아"
56,"저가, 에브리데이, 대량, 초, 유통, 가격, 상품, 매입, 이마트, 국민"
57,"일본, 관광객, 중국, 관광, 중국인, 여행, 비자, 보이콧, 한국, 온라인"
58,"일본, 의원, 한국, 측, 원단, 자민당, 도쿄, 광복절, 이날, 연맹"
59,"보잉, 항공, 시스템, 조종사, 여객기, 분석, 대처, 측, 소프트웨어"
60,"장애인, 자립, 지원, 지역, 거주, 생활, 시설, 의원, 복지"
61,"북한, 아사히, 신문, 트럼프, 대통령, 중국"
62,"결혼이주여성, 친정, 부모, 초청, 사업, 대상자, 한국, 가족"
63,"브랜드, 포레, 공간, 연결, 아파트, 한화건설, 주거"
64,
65,"조, 수석, 직, 휴직, 임명, 교수, 복직, 신청, 서울대, 기간"
66,"도, 비, 오전, 시, 강원, 서울, 동해안, 기온, 이날, 오후"
67,"직, 만, 자발, 증가, 이직, 계약, 기간, 최대"
68,"억, 적자, 상반기, 지난해, 올해"
69,
70,"시신, 북한, 추정"
71,"홍콩, 중국, 대만, 여행, 병력, 경찰, 시위, 폭동, 혐의, 금지"
72,"미국, 요청, 지난달, 영국, 독일, 참여, 이란"
73,"중국, 협상, 미국, 합의, 구매, 분, 트럼프, 대통령, 시, 농산품"
74,"의원, 민주당, 미국, 주, 대통령, 흑인, 미, 발언, 후보, 토론회"
75,"하야, 공주, 영국, 요르단, 법정, 무함마드, 두바이, 결혼"
76,"가치, 측정, SK그룹, 연구, 기업"
77,"생산, 제조업, 소비, 부진, 개월, 이후, 분기, 경기, 능력, 민간"
78,"파업, 노조, 현대차, 사, 찬성, 가결, 임금, 기아차, 측"
79,"두산인프라코어, 브랜드, 포레"
80,플레이
81,"가격, 상품, 이마트, 저가, 프로젝트, 대비"
82,"금융, 재산, 휴면, 만기, 조, 후, 소비자"
83,"본부, 사업, 전략, 대우건설, 개편, 기획, 억, 추진, 본부장, 실적"
84,"일본, 수출, 북한, 한국, 관련, 그"
85,"북한, 청와대, 발사, 미사일, 우려, 단거리탄도미사일, 군, 미, 도발, 표명"
86,"북한, 미국, 총리, 발사, 한국, 히, 연대, 정보, 아베, 일본"
87,"파업, 노조, 울산, 건설, 레미콘, 산업, 현대차, 물, 분할, 플랜트"
88,"북한, 미사일, 발사, 요격, 군, 고도, 도발, 이스칸데르, 사거리, 거"
89,"일본, 의원, 회장, 누카, 방, 자민당, 서, 국회, 입장, 제외"
90,"제소, 일본, 해결, 협의, 위원, 정부, 규제, 통상, 양자, 상소"
91,"한국, 일본, 한, 정부, 아베, 총리, 신뢰, 갈등, 합의, 관계"
92,일본
93,"의원, 일본, 한국, 수출, 양국, 규제, 누카, 회장, 도쿄, 자민당"
94,"경제, 프리드먼, 시장, 자유, 정부, 검찰, 선택, 총장, 공해, 공정"
95,"등급, 무디스, SK하이닉스, 전망, 일본, 수출, 규제, 신용등급, 생산, 차질"
96,"생산, 지수, 감소, 하락, 제조업, 능력, 분기, 연속, 규제, 산업"
97,"탄도미사일, 발사, 요격, 북한, 신형, 미사일, 고도, 군, 풀, 업"
98,"호날두, 당, 정당"
99,"당, 민주연구원, 보고서, 갈등, 총선, 연구원"
100,"외교부, 일본, 한국, 강제, 징용, 판결, 규제, 보복, 문건, 기업"
101,
102,"신형, 잠수함"
