index,topics
0,"경제, 미국, 기업, 세계, 상위, 정치, 트럼프, 부자, 라이, 시"
1,"발굴, 유해, 전사자, 아버지, 구, 전쟁, 만, 지역, 유가족, 국군"
2,"당, 의원, 한국, 대표, 투쟁, 황, 통합, 지도부, 국회, 처"
3,"물가, 상승, 전년, 대비, 가격, 하락, 품목, 2019년, 소비자, 생활"
4,"당원, 세, 청소년, 모집, 위원, 정당, 민주당, 입당, 선거, 법"
5,"의원, 직, 한국, 당, 총사퇴, 대표, 국민, 의장, 사퇴, 전통"
6,"P2P, 기간, 연체, 자, 계좌, 대출, 업체, 상품, 수익, 개인"
7,"대통령, 국회, 법, 문, 야당, 국민, 군소, 편, 지지자, 정책"
8,"전셋값, 부동산, 공급, 수요, 집값, 대책, 서울, 정부, 정책, 전세"
9,"공무원, 국민, 경제, 규제, 공직, 성장, 정책, 세계"
10,"연습, 상황, 녹록, 남북, 합의, 정경두, 국방부, 연합뉴스, 대비, 당부"
11,"국회, 정치, 대한민국, 국민, 의장, 문, 새해"
12,"공제, 신문, 소득, 구독료, 혜택"
13,"물가, 상승, 지난해, 정부, 경제, 소비, 요인, 한국, 하락, 한국은행"
14,"곳, 최저임금, 아르바이트, 부담, 명동, 임대료, 장사, 최저, 임금, 운영"
15,"만, 전국, 기준, 시가, 상가, 오피스텔, 국세청, 위, 인상, 서울"
16,"통신, 지난해, 세계, 장비, 시장, 점유, 위, 콘, 텐트, 스마트폰"
17,"행사, 통, 새해, 가격, 만, 한정, 세제"
18,
19,"배, 진료비, 조사, 동물병원, 곳, 진료, 항목, 최대, 차이, 게시"
20,"채무, 전화, 휴대, 통신, 요금, 연체, 조정, 금융, 본인, 명의"
21,"한센, 마을, 협력, 주민, 생활, 의료, 인도, 개인, 위생, 교육"
22,"수수료, 환전, 만, 베트남, 해외, 동, 한국, 달러, 신용카드, 은행"
23,"회의, 전원, 북한, 위원장, 김, 길, 국가, 신년사, 통신, 협상"
24,"훈련, 미, 규모, 아프리카, 육군, 유럽, 디펜더, 미군, 연합"
25,"검찰, 총장, 수사, 윤, 헌법, 국민, 공수처, 사건, 신년사, 시장"
26,"러시아, 나라, 대사, 한국, 대통령, 중국, 미국, 국가, 북한, 교역"
27,"민주당, 비례, 이름, 정당, 선관위, 당, 더불어민주당, 사용, 등록, 판단"
28,"대표, 처, 총사퇴, 지도부, 당직자, 출마, 황, 창당, 당, 통합"
29,"의원, 표, 민주당, 표결, 당, 반대, 처, 국회, 본회의, 회의"
30,"제재, 북한, 미, 가능, 한, 한국, 미국, 총선, 중국, 비핵화"
31,"경제, 세계, 한국, 투자, 성장, 수출, 무역, 교역, 정책, 시장"
32,"정치, 총선, 선거, 당, 한국, 대통령, 새해, 대, 만큼, 거리"
33,"장관, 조, 아들, 시험, 검찰, 교수, 딸, 혐의, 허위, 장학금"
34,"새해, 총리, 광장, 신년, 축제, 나라, 맞이, 자리, 로즈, 풍경"
35,"미국, 대사관, 이라크, 시위대, 이란, 습격, 헤즈볼라, 폭격, 카타, 이브"
36,"일본, 한글, 의원, 전철, 미, 치코, 트윗, 표기"
37,"대표, 김, 기업, 배달, 형제, 회사, 민족, 직원, 지분, 평가"
38,"확률, 인공지능, 쥐, 가능, 병, 시험, 그림, 환자, 계산, 세상"
39,"송, 부시장, 영장, 청와대, 검찰, 시장, 공무원, 선거, 청구, 기각"
40,"영입, 국회, 정치, 동물, 호, 인재, 스토리, 민주당"
41,"헌법, 신청, 검찰청, 기능, 판사, 국민, 확대, 조, 항, 한정"
42,"한국, 중국, 관계, 한, 사드, 미국, 미, 동맹, 배치, 전략"
43,
44,"중국, 미국, 단계, 무역, 합의, 서명"
45,"정당, 민주주의, 시민, 정부, 당원, 정치, 거, 대안, 자장면, 교과서"
46,"당, 통합, 한국, 대표, 보수, 정당, 국민, 연대, 정권, 이재오"
47,"경제, 정부, 기업, 일자리, 정책, 제조업, 활력, 내년"
48,"대통령, 통합, 문, 국민, 정치, 약속, 국회, 지난해, 대한민국, 경제"
49,"희망, 고문, 정부, 원전, 시장, 일자리, 국민, 대통령, 정책, 대책"
50,"송, 부시장, 청와대, 기각, 시장, 구속영장, 수사, 울산, 의혹, 서울"
51,"이라크, 대사관, 미국, 시위대, 미, 정부, 공격, 시아, 파, 민병대"
52,"테러, 새해, 터키, 조직원, 총기, 경찰, 맞이, 체포, 공격, 건"
53,"회장, 레바논, 보석, 현지, 일본, 곤, 레바, 논, 구속, 억"
54,"방위비, 분담, 국회, 보고서, 방안, 차, 협정, 분담금, 협상, 사전"
55,"군사, 장관, 정, 해, 태세"
56,"대표, 금융, 그룹, 신탁, 자산, 신임, 국제, 공동"
57,"선박, 스마트, 운항, 솔루션, 개발, 기능, 원격, 최초, 글로벌, 기술"
58,"기업, 산업, 인수, 테크, 현대차, 차, 모빌리티, 위, 서비스, 사업"
59,"만, 배송, 새해, 물량, 건, 상품, 새벽, 닷컴, 서울"
60,"산업, 규제, 정부, 정책, 차, 혁명, 지원, 한국, 중국, 시대"
61,"매장, 결제, 아마존, 신세계아이앤, 상품, 쇼핑, 운영, 이마트, 셀프, 기술"
62,"로봇, 무인, 매장, 결제, 도입, 김밥, 주문, 키오스크, 죽, 기계"
63,"이라크, 미, 미국, 대사관, 시위대, 공격, 미군, 시위, 이란, 지난해"
64,"중국, 합의, 안, 서명, 단계, 트럼프, 미국, 대통령, 무역, 지난해"
65,"폐렴, 환자, 발생, 시, 사스, 웨이보, 위원회, 중국, 당국, 집단"
66,"우크라이나, 대통령, 탄핵, 폼페이, 장관, 부통령, 지난해, 오, 안, 상원"
67,"그, 회장, 일본, 곤, 레바논, 혐의, 닛산, 체포, 레바, 논"
68,"의원, 금, 문, 대통령, 당론, 문재인, 노무현, 댓글, 민주당, 트위터"
69,"경제, 대통령, 정권, 성장, 상황, 시장"
70,"송, 선거, 시장, 부시장, 자금, 업무, 수첩, 지방, 내용, 비용"
71,"체납, 보험료, 정보, 납부, 건강, 고액, 금융, 상습, 기관, 자"
72,"중국, 수사, 나라, 관계, 규칙, 지지, 집값, 거, 일본, 한"
73,"날, 연휴, 휴일, 달력, 올해, 부처, 주말, 하루, 인, 적용"
74,"도, 영하, 기상청, 기온, 서울, 오전, 강원"
75,"인터넷, 오토바이, 서울, 진행, 강, 경찰, 임, 방송, 운전, 술"
76,"내용, 의원, 외교, 부, 통화, 강, 정상, 간, 한국, 대통령"
77,"피해, 한전, 지급, 금액, 산불, 손해, 사정, 고성, 부실"
78,"물가, 상승, 수요, 하락, 소비자, 정부, 지난해, 석유, 부진, 요인"
