index,topics
0,"세계, 임금, 행정부, 로버트, 계층, 투자, 이윤, 년대, 경제, 미국"
1,"발굴, 유해, 전사자, 아버지, 구, 전쟁, 만, 지역, 유가족, 국군"
2,"의원, 한국당, 대표, 투쟁, 황, 통합, 지도부, 국회, 당, 보수"
3,"물가, 상승, 전년, 대비, 가격, 하락, 품목, 2019년, 생활, 디플레이션"
4,"당원, 세, 청소년, 모집, 위원, 정당, 민주당, 입당, 선거, 법"
5,"의원, 직, 총사퇴, 대표, 한국당, 국민, 사퇴, 전통, 처리, 총선"
6,"투자, P2P, 대출, 금융, 업체, 상품, 수익, 개인, 수익률, 플랫폼"
7,"대통령, 국회, 문, ‘4+1, 국민, 군소, 야당, 편, 지지자, 정책"
8,"전셋값, 부동산, 공급, 수요, 집값, 서울, 정부, 정책, 전세"
9,"공무원, 국민, 경제, 공직, 성장, 정책, 세계"
10,"군사, 장관, 안보, 군, 평화, 정, 태세, 국방, 북한, 탄도미사일"
11,"정치, 대한민국, 국민, 국회, 문, 의장, 새해"
12,"공제, 신문, 소득, 구독료, 혜택"
13,"정부, 물가, 상승, 지난해, 경제, 소비, 요인, 한국, 하락, 한국은행"
14,"곳, 최저임금, 아르바이트생, 임대료, 부담, 명동, 장사, 사장, 종로, 운영"
15,"기준, 시가, 상가, 오피스텔, 국세청, 위, 인상, 서울, 만, 전국"
16,"지난해, 통신, 세계, 장비, 시장, 점유, 위, 콘, 텐트, 스마트폰"
17,"행사, 통, 새해, 가격, 만, 한정, 세제"
18,
19,"배, 진료비, 동물병원, 조사, 곳, 진료, 항목, 최대, 차이, 게시"
20,"채무, 휴대전화, 통신, 요금, 연체, 조정, 금융, 본인, 명의, 단말기"
21,"한센, 마을, 협력, 주민, 의료, 인도, 개인, 위생, 교육, 지원"
22,"수수료, 환전, 만, 베트남, 해외, 동, 한국, 달러, 신용카드, 현지"
23,"전원회의, 북한, 위원장, 김, 신년사, 협상, 길, 군사, 이번, 폼페이"
24,"훈련, 미, 규모, 아프리카, 육군, 유럽, 디펜더, 미군"
25,"수사, 윤, 총장, 검찰, 헌법, 국민, 사건, 공수처, 신년사, 선거"
26,"러시아, 나라, 대사, 한국, 대통령, 중국, 미국, 국가, 북한, 교역"
27,"민주당, 비례, 이름, 선관위, 더불어민주당, 사용, 창, 준위, 정당, 등록"
28,"통합, 의원, 대표, 총선, 한국당, 당, 총사퇴, 지도부, 당직자, 보수"
29,"의원, 표, 민주당, 표결, 반대, 국회, 본회의, 회의, 오후, 시"
30,"북한, 제재, 미, 가능성, 한, 한국, 미국, 총선, 중국, 비핵화"
31,"경제, 세계, 한국, 투자, 수출, 무역, 성장, 교역, 시장, 요인"
32,"정치, 총선, 선거, 대통령, 새해, 대, 한국당, 당, 만큼, 거리"
33,"시험, 검찰, 아들, 장관, 조, 교수, 딸, 혐의, 허위, 장학금"
34,"새해, 총리, 광장, 신년, 축제, 나라, 맞이, 자리, 로즈, 풍경"
35,"시위대, 미국, 대사관, 이라크, 이란, 습격, 카타이브-헤즈볼라, 폭격, 구호, 반(反)"
36,"일본, 한글, 의원, 전철, 치코, 트윗, 표기"
37,"대표, 김, 기업, 형제, 회사, 배달, 직원, 지분, 평가, 가치"
38,"확률, 인공지능, 쥐, 병, 시험, 그림, 가능성, 환자, 계산, 세상"
39,"부시장, 영장, 청구, 기각, 업무수첩, 송, 청와대, 검찰, 시장, 공무원"
40,"국회, 정치, 영입, 동물, 호, 스토리, 민주당"
41,"검사, 헌법, 수사, 영장, 신청, 검찰청, 규정, 사건, 사법, 역할"
42,"한국, 중국, 관계, 한, 사드, 미국, 미, 배치, 전략, 방한"
43,
44,"중국, 미국, 단계, 무역, 합의, 서명"
45,"정당, 민주주의, 시민, 정부, 당원, 거, 대안, 자장면, 교과서, 길"
46,"한국당, 대표, 보수, 국민통합연대, 정권, 이재오, 위원장, 정당, 분열, 창립"
47,"정부, 경제, 기업, 일자리, 제조업, 정책, 활력, 내년"
48,"대통령, 통합, 문, 국민, 정치, 약속, 국회, 지난해, 대한민국, 경제"
49,"희망, 고문, 정부, 원전, 시장, 일자리, 국민, 대통령, 정책, 대책"
50,"송, 부시장, 청와대, 기각, 시장, 구속영장, 울산, 의혹, 영장, 혐의"
51,"이라크, 대사관, 미국, 시위대, 미, 정부, 공격, 시아, 파, 민병대"
52,"터키, 조직원, 총기, 테러, 새해, 경찰, 맞이, 체포, 공격, 건"
53,"회장, 레바논, 보석, 현지, 일본, 곤, 레바, 논, 구속, 억"
54,"방위비분담, 국회, 보고서, 방위비, 방안, 차, 협정, 분담금, 협상, 사전"
55,"군사, 장관, 정, 해, 태세"
56,"대표, 그룹, 신탁, 자산, 신임, 국제, 공동대표, 금융"
57,"선박, 스마트, 운항, 솔루션, 개발, 기능, 원격, 최초, 글로벌, 기술"
58,"기업, 인수, M&A, 산업, 모빌리티, 테크, 위, 현대차, 서비스, 사업"
59,"만, 배송, 새벽, 닷컴, 서울, 새해, 물량, 건, 상품"
60,"규제, 정부, 정책, 차, 산업혁명, 지원, 산업, 한국, 중국, 시대"
61,"매장, 아마존, 결제, 상품, 쇼핑, 운영, 셀프, 신세계아이앤, 기술, 무인"
62,"로봇, 무인, 매장, 결제, 김밥, 주문, 도입, 키오스크, 죽, 기계"
63,"이라크, 미, 미국, 대사관, 시위대, 공격, 미군, 시위, 이란, 지난해"
64,"안, 서명, 중국, 합의, 단계, 트럼프, 미국, 대통령, 지난해, 무역"
65,"폐렴, 환자, 발생, 시, 사스, 웨이보, 위원회, 중국, 당국, 집단"
66,"우크라이나, 대통령, 탄핵, 폼페이, 장관, 부통령, 지난해, 오, 안, 상원"
67,"그, 회장, 일본, 곤, 레바논, 혐의, 닛산, 체포, 레바, 논"
68,"의원, 금, 대통령, 문, 당론, 문재인, 노무현, 댓글, 민주당, 트위터"
69,"대통령, 정권, 경제, 상황, 성장"
70,"송, 시장, 선거, 부시장, 자금, 업무수첩, 내용, 비용, 신고, 영장"
71,"체납, 보험료, 정보, 납부, 기관, 건보, 이상, 김, 만, 올해"
72,"중국, 수사, 나라, 관계, 규칙, 공수처, 지지, 집값, 거, 일본"
73,"날, 연휴, 휴일, 달력, 올해, 부처, 주말, 하루, 인, 적용"
74,"도, 영하, 기상청, 기온, 서울, 오전, 강원"
75,"술, 방송, 운전, 인터넷, 오토바이, 진행, 강, 경찰, 임"
76,"내용, 의원, 외교, 통화, 강, 부, 정상, 간, 대통령, 한미"
77,"피해, 한전, 지급, 금액, 산불, 손해, 사정, 고성, 부실, 심의"
78,"물가, 상승, 수요, 하락, 지난해, 소비자, 정부, 석유, 부진, 요인"
79,"시장, 경제, 부동산, 장관, 투자, 금융, 정책, 안정, 새해, 강조"
80,"행장, 금융, 윤, 수석, 대통령, 기업, 은행장, 출신, 차기, 내정"
81,"상자, 장바구니, 종이, 테이프, 대형마트, 자율포장대, 이마트, 롯데마트, 홈플러스, 사용"
82,"정전, 사업장, 화성, 반도체, 발생, 생산, 분, 전력, 삼성전자, 중단"
83,
84,"급, 선발, 공채, 국가, 공무원, 지난해"
85,"북한, 조치, 전원회의, 미국, 김, 위원장, 길, 외교, 대북제재, 관련"
86,"교육, 교육부, 선거법, 협의, 시도, 교육청, 가이드라인, 실무"
87,"후보자, 총리, 인사청문, 국회, 여야, 정, 증인"
88,"대통령, 국민, 새해, 문"
89,"의원, 총선, 김"
90,"미국, 정책, 대통령, 트럼프, 북한, 중국, 한국, 외교, 그, 국가"
91,"검찰, 인사, 수사, 후보자, 장관, 대통령, 국회, 추, 임명, 청와대"
92,"헌법, 공수처, 검사, 수사, 위헌, 규정, 기관, 법, 임명, 주장"
93,"조, 장관, 확인서, 비서관, 혐의, 허위, 청와대, 최, 아들, 업무"
94,"검찰, 국민, 헌법, 윤, 총장"
95,"조, 장관, 장학금, 노, 원장, 교수, 만, 검찰, 지급, 부산대"
96,"장관, 검찰, 기소, 조, 수사, 변호인단, 결과, 인디언, 기우제"
97,"업무, 공무원, 후임자, 주, 보직, 도쿄, 술, 일본, 자리, 부실"
98,"공무원, 급, 부처, 충, 사무관, 혁신"
99,"장관, 조, 비서관, 허위, 검찰, 아들, 위조, 최, 입시"
100,"공무원, 혁신, 적극, 공직, 정부, 행정, 부처, 아이디어, 복지"
101,"한국, 100년, 청년, 꼰대, 미래, 상, 그, 기업, 다음, 리더"
