index,topics
0,"번호, 만, 복권, 당첨금, 지급"
1,"촬영, 중국, 몰카, 불법, 영상, 카메라, 만, 온라인, 카, 처벌"
2,"조업, 브리, 환경부, 개방, 제철소, 민관협의체, 포스코, 고로, 중단, 배출"
3,"병원, 가족, 평균, 서울, 최근, 히, 관련, 하이메디, 두바이, 하이"
4,"대변인, 김, 조국, 후보자, 꽃, 원내, 위선, 정재, 국민, 표현"
5,"기술, 산업, 국내, 패권, 모빌리티, 표지판, 정부, 운행, 미국, 부품"
6,"어린이집, 미세먼지, 수치, 측정, 구청, 공기, 영등포, 환기, 서비스, 실내"
7,"지방간, 간, 대사, 증상, 알코올, 지방, 환자, 진행, 습관, 필요"
8,"잠수함, 급, 척, 도입, 함, 해군, 중국, 능력, 건조, 기술"
9,"망원경, 패스트, 펄서, 중국, 전파망원경"
10,"후보자, 조, 검찰, 수사, 의혹, 검사, 인사, 공수처, 정권, 장관"
11,"카드, 이음, 지역화폐, 억, 인천, 만, 캐시, 백, 결제, 발행"
12,"참전, 제2연평해전, 그, 대원, 정부, 트라우마, 치료, 군, 상, 부상"
13,"국방부, 해안포, 개방, 군사합의, 위반, 측, 북한, 설치, 함박, TV조선"
14,"정권, 부산, 광주, 원내대표, 한국당, 일고, 발언, 지역주의, 나경원, 대구"
15,"북한, 북미, 협상, 미국, 미, 부, 최, 대화, 기대, 담화"
16,"인권, 실무, 그룹, 구금, 병역, 한국, 지난해, 헌법재판소, 신념, 양심"
17,"사고, 대표, 서울메트로, 서울, 선고, 항소심, 당시, 발생, 지하철, 구의역"
18,"전쟁, 의원, 일본, 영토, 주장, 관련, 그, 독도, 러시아, 북방"
19,"조국, 정권, 얘기, 원내대표, 집회, 한국당, 문재인, 비판, 후보자, 의혹"
20,"일본, 독도, 방문단, 한국, 정부, 국회, 뉴시스, 항의, 의원, 히"
21,"의원, 영토, 전쟁, 일본, 야마, 발언, 독도, 당"
22,"승객, 버스"
23,"수출, 억, 달러, 품목"
24,"발언, 행위, 해임, 원고, 학생들, 차별, 교수, 처분, 여성, 비하"
25,"대통령, 방문, 문, 간, 한국, 양국, 협력, 태국, 아세안, 차"
26,"경찰, 시위대, 시위, 시작, 홍콩, 시민, 진압, 집회, 역, 시"
27,"연구, 수면, 부족, 금연, 야간, 근무, 실패, 남성, 근무자, 주간"
28,"만, 실질, 나랏, 내년, 빚, 조, 인, 속도, 재정, 부담"
29,"대통령, 방문, 문, 간, 협력, 태국, 한국, 아세안, 양국, 미얀마"
30,"수출, 일본, 품목, 달러, 개월, 연속, 감소, 억, 영향, 수출규제"
31,"억, 주식, 지분, 보유, 자산, 주가, 엔터테인먼트, 작년, 회사, ‘버닝썬"
32,"미군기지, 조기, 미국, 한, 미, 적극, 추진, 정부, 반환, 트럼프"
33,"재판, 부장판사, 대통령, 임, 가토, 이메일, 박근혜, 사건, 재판장, 선고"
34,"대변인, 조국, 원내, 위선, 국민, 김, 후보자, 논평, 한국당, 우롱"
35,"소비자, 인테리어, 제품, 쇼, 룸, 확대, 국내, 한샘, 가구, 매장"
36,"대통령, 문, 후보자, 방문, 청문회, 순방, 조, 송부, 기한, 간"
37,"대통령, 아세안, 방문, 협력, 개국, 문, 예정, 한, 정상회담"
38,"시위, 홍콩, 기자"
39,"스페셜, 트림, 리, 만, 누적, 대, 럭셔, 디자인, 제네시스, 고객"
40,"만, 건, 환불, 수신, 수입, 료, 수신료, 억, 건수, 증가"
41,"발언, 해임, 차별, 여성, 비하, 혐오, 편견, 표현"
42,"독도, 일본, 전쟁, 영토, 마루, 야마, 당, 트위터, 정치, 우익"
43,"당첨, 만, 당첨금, 번호, 복권"
44,"재정, 수입, 비율, 한국, 전망, 감소, 세입, 포인트, 조, 나라"
45,"대통령, 문, 한국, 방문, 아세안, 협력, 태국, 순방, 간, 미얀마"
46,"수출, 감소, 억, 달러, 개월, 지난해, 일본, 만, 품목, 한국"
47,"집회, 여성, 반대, 크랙, 도쿄, 성명, 명예, 총리, 상대, 국민"
48,"여성, 성매매, 브라질"
49,"의원, 야마, 일본, 마루, 독도, 전쟁, 주장, 중의원, 방문, 영토"
50,"조, 후보자, 청문회, 대통령, 임명, 청와대, 국회, 문, 방문, 순방"
51,"후보자, 웅동학원, 관련, 조, 의혹, 청문회, 해소, 제기, 논란, 사모펀드"
52,"국민, 정권, 문재인, 부의장, 정부, 가치, 김, 경제, 평등·공정·정의, 조국"
53,"청원, 법무부, 장관, 자녀, 실시간, 대상자, 후보자, 해당, 청와대, 청문회"
54,"의혹, 후보자, 자유, 나경원, 원내대표, 조, 대상자, 전형, 조국, 실시간"
55,"수출, 일본, 품목, 개월, 연속, 수출규제, 감소, 억, 대외, 지난해"
56,"국회, 원내대표, 그, 조, 정부, 법, 민주당, 예산, 후보자, 증인"
57,"수출, 일본, 개월, 연속, 달러, 품목, 수출규제, 감소, 억, 만"
58,"교수, 원고, 발언, 해임, 행위, 학생들, 차별, 처분, 여성, 비하"
59,"후보자, 조, 증인, 청와대, 민주당, 인사청문, 회, 채택, 청문회, 원내대표"
60,"대통령, 트위터, 로켓, 사진, 트럼프, 이미지, 위성, 미국, 기밀, 이란"
61,"의원, 독도, 한국, 방문, 일본, 영토, 점거, 전쟁, 당, 마루"
62,"의혹, 원내대표, 검색, 후보자, 실시간, 보도, 해당, 조국, 여론, 조"
63,"김, 발언, 대학, 집단, 여대, 해임, 해당, 표현, 편견, 혐오"
64,"기자, 추행, 대표, 선고, 혐의"
65,"여성, 종, 피해, 호출, 승객, 사형, 사건, 택시, 콜, 살해"
66,"그리스, 영국, 조각상, 신전, 총리, 논, 반환, 파르테, 전시, 키스"
67,"후보자, 원내대표, 조, 인사청문, 회, 일정"
68,"총격, 오데사, 미들랜드, 범, 범행, 경찰, 차"
69,"빌뢰르반, 용의자, 테러, 사건, 경찰, 프랑스, 수색"
70,"일본, 한국, 명예, 교수, 집회, 와다, 하루키"
71,"인치, 시스템, 연비, 뉴, 출시, 모델, 기준, 토크, 편의, 트림"
72,"수사, 검찰, 정부, 후보자, 노무현, 윤, 총장, 조, 장관, 청와대"
73,"매체, 북남, 당국, 남조선, 정세"
74,"대변인, 조국, 민주당, 성, 원내, 국민, 후보자, 발언, 한국당, 위선"
75,"폼페이, 오, 장관, 북한, 유엔, 미, 이용호, 외무상, 총회, 불참"
76,"원내대표, 후보자, 청문회, 증인, 오늘, 인사청문, 청와대, 개최, 채택, 조"
77,"규제, 응답, 개혁, 만족, 기업, 배, 조사, 지난해, 미흡, 정부"
78,"후보자, 세대, 조국, 대, 보수, 기득, 세력, 자유, 한국당, 프레임"
79,"경찰, 저, 영상, 시위대, 트위터, 홍콩, 남성, 응급처치, 곳곳, 시위"
80,"금연, 야간, 실패, 근무, 남성, 근무자, 주간, 결과, 세, 연구"
81,"교수, 파면, 징계, 김, 서울대, 성, 추행, 결정, 요구, 의혹"
82,"지원, 전북, 도, 가구, 적극, 확인, 방침, 복지"
83,"발언, 해임, 여성, 혐오, 비하, 김"
84,"차, 업체, 부품, 협력업체, 징역, 억, 생산, 재판, 납품, 피해"
85,"총격, 범, 미들랜드, 차별"
86,"번호, 만, 복권, 당첨금, 지급"
87,"촬영, 중국, 몰카, 불법, 영상, 카메라, 만, 온라인, 카, 처벌"
88,"조업, 브리, 환경부, 개방, 제철소, 민관협의체, 포스코, 고로, 중단, 배출"
89,"병원, 가족, 평균, 서울, 최근, 히, 관련, 하이메디, 두바이, 하이"
90,"대변인, 김, 조국, 후보자, 꽃, 원내, 위선, 정재, 국민, 표현"
91,"기술, 산업, 국내, 패권, 모빌리티, 표지판, 정부, 운행, 미국, 부품"
92,"어린이집, 미세먼지, 수치, 측정, 구청, 공기, 영등포, 환기, 서비스, 실내"
93,"지방간, 간, 대사, 증상, 알코올, 지방, 환자, 진행, 습관, 필요"
94,"잠수함, 급, 척, 도입, 함, 해군, 중국, 능력, 건조, 기술"
95,"망원경, 패스트, 펄서, 중국, 전파망원경"
96,"후보자, 조, 검찰, 수사, 의혹, 검사, 인사, 공수처, 정권, 장관"
97,"카드, 이음, 지역화폐, 억, 인천, 만, 캐시, 백, 결제, 발행"
98,"참전, 제2연평해전, 그, 대원, 정부, 트라우마, 치료, 군, 상, 부상"
99,"국방부, 해안포, 개방, 군사합의, 위반, 측, 북한, 설치, 함박, TV조선"
100,"정권, 부산, 광주, 원내대표, 한국당, 일고, 발언, 지역주의, 나경원, 대구"
101,"북한, 북미, 협상, 미국, 미, 부, 최, 대화, 기대, 담화"
102,"인권, 실무, 그룹, 구금, 병역, 한국, 지난해, 헌법재판소, 신념, 양심"
103,"사고, 대표, 서울메트로, 서울, 선고, 항소심, 당시, 발생, 지하철, 구의역"
104,"전쟁, 의원, 일본, 영토, 주장, 관련, 그, 독도, 러시아, 북방"
105,"조국, 정권, 얘기, 원내대표, 집회, 한국당, 문재인, 비판, 후보자, 의혹"
106,"일본, 독도, 방문단, 한국, 정부, 국회, 뉴시스, 항의, 의원, 히"
107,"의원, 영토, 전쟁, 일본, 야마, 발언, 독도, 당"
108,"승객, 버스"
109,"수출, 억, 달러, 품목"
110,"발언, 행위, 해임, 원고, 학생들, 차별, 교수, 처분, 여성, 비하"
111,"대통령, 방문, 문, 간, 한국, 양국, 협력, 태국, 아세안, 차"
112,"경찰, 시위대, 시위, 시작, 홍콩, 시민, 진압, 집회, 역, 시"
113,"연구, 수면, 부족, 금연, 야간, 근무, 실패, 남성, 근무자, 주간"
114,"만, 실질, 나랏, 내년, 빚, 조, 인, 속도, 재정, 부담"
115,"대통령, 방문, 문, 간, 협력, 태국, 한국, 아세안, 양국, 미얀마"
116,"수출, 일본, 품목, 달러, 개월, 연속, 감소, 억, 영향, 수출규제"
117,"억, 주식, 지분, 보유, 자산, 주가, 엔터테인먼트, 작년, 회사, ‘버닝썬"
118,"미군기지, 조기, 미국, 한, 미, 적극, 추진, 정부, 반환, 트럼프"
119,"재판, 부장판사, 대통령, 임, 가토, 이메일, 박근혜, 사건, 재판장, 선고"
