,0,1
99,462,50
70,362,42
81,397,42
7,37,38
93,448,35
25,150,34
53,295,32
23,147,31
39,231,27
2,15,26
49,286,22
17,96,21
69,361,20
10,44,18
64,338,17
104,484,16
67,350,15
54,297,13
8,38,12
9,41,12
57,302,12
58,310,12
105,490,12
44,262,11
61,327,11
62,334,11
95,453,11
76,384,10
83,406,10
21,134,9
59,312,9
47,282,8
73,367,8
88,427,8
103,480,8
20,126,7
52,294,7
68,354,7
78,392,7
43,259,6
71,363,6
101,468,6
28,180,5
40,241,5
51,290,5
77,386,5
79,394,5
84,413,5
108,497,5
27,176,4
32,204,4
34,211,4
63,337,4
66,343,4
72,366,4
85,414,4
91,438,4
92,440,4
107,493,4
0,11,3
18,116,3
26,162,3
31,190,3
55,298,3
65,340,3
80,396,3
86,417,3
87,421,3
89,431,3
90,433,3
97,459,3
102,476,3
3,18,2
6,35,2
12,63,2
19,125,2
24,149,2
30,188,2
37,219,2
38,223,2
42,245,2
56,301,2
60,315,2
74,379,2
75,380,2
94,452,2
96,454,2
98,461,2
100,465,2
106,492,2
109,498,2
1,13,1
4,21,1
5,23,1
11,53,1
13,64,1
14,65,1
15,69,1
16,93,1
22,141,1
29,182,1
33,210,1
35,214,1
36,218,1
41,243,1
45,273,1
46,277,1
48,283,1
50,289,1
82,403,1
