,0,0,0
0,11,3," 학폭, 위,"
1,18,2," 사업, 계획,"
2,35,2," 현대오일뱅크, 시장,"
3,63,2," 개선, 미세,"
4,116,3," 미니, 토스,"
5,125,2," 반도체, 업체,"
6,149,2," 중견, 지원,"
7,162,3," 지역, 발행,"
8,176,4," 행위, 수사,"
9,180,5," 배출, 가스,"
10,188,2," 전략, 항공우주산업,"
11,190,3," 창출, 지원,"
12,204,4," 아파트, 주택,"
13,219,2," 추방, 모스크바,"
14,223,2," 어린이집, 원장,"
15,245,2," 교육, 과정,"
16,259,6," 편의점, 식품,"
17,290,5," 인센티브, 지급,"
18,298,3," 선고, 딸,"
19,301,2," 서울, 이벤트,"
20,315,2," 국가정보원, 후보,"
21,334,11," 건강, 적용,"
22,337,4," 투약, 아내,"
23,340,3," 국정원, 위,"
24,343,4," 아파트, 경찰,"
25,350,15," 매입, 손,"
26,354,7," 북한, 미사일,"
27,366,4," 설, 예약,"
28,367,8," 대통령, 김영철,"
29,379,2," 인천, GTX-B,"
30,380,2," 대학, 대학원,"
31,394,5," 억, 현대모비스,"
32,396,3," 출마, 당,"
33,413,5," 억, 대통령,"
34,414,4," 세, 타미플,"
35,417,3," 달러, 지난해,"
36,421,3," 클럽, 영상,"
37,427,8," 매매, 여성,"
38,431,3," 이식, 출산,"
39,433,3," 명칭, 변경,"
40,438,4," 산림, 진화,"
41,440,4," 과이, 의장,"
42,452,2," 코넥스, 예탁금,"
43,454,2," 변호인단, 재판,"
44,459,3," 지원, 선원,"
45,461,2," 치료, 초기,"
46,465,2," 일반인, 기자,"
47,476,3," 법원, 계약,"
48,492,2," 언론, 대통령,"
49,498,2," 관광, 금강산,"
